Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kyrgyzstan,Europe,88931,1363,2,0,2,1024,16,0,0,0
Cabo Verde,Africa,64474,11596,0,0,0,416,75,0,0,0
Nauru,Western Pacific,5393,49778,0,0,0,1,9,0,0,0
Grenada,Americas,19693,17501,0,0,0,238,212,0,0,0
Bermuda,Americas,18860,30286,0,0,0,165,265,0,0,0
Dominica,Americas,16038,22278,0,0,0,74,103,0,0,0
Latvia,Europe,977068,51218,0,0,0,7430,389,0,0,0
Tokelau,Western Pacific,80,5926,0,0,0,0,0,0,0,0
Eswatini,Africa,75189,6481,0,0,0,1427,123,0,0,0
Belize,Americas,71373,17950,0,0,0,688,173,0,0,0
Mauritania,Africa,63768,1371,0,0,0,997,21,0,0,0
Bahamas,Americas,38084,9685,0,0,0,844,215,0,0,0
Zimbabwe,Africa,265975,1790,0,0,0,5730,39,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7625292,9078,132,0,132,146751,175,10,0,10
Malawi,Africa,89168,466,0,0,0,2686,14,0,0,0
Senegal,Africa,89033,532,0,0,0,1971,12,0,0,0
Uganda,Africa,171888,376,0,0,0,3632,8,0,0,0
Ghana,Africa,171834,553,0,0,0,1462,5,0,0,0
Bolivia (Plurinational State of),Americas,1210892,10373,459,4,459,22385,192,0,0,0
Netherlands (Kingdom of the),Europe,8625002,49547,1792,10,1792,22986,132,0,0,0
Lao People's Democratic Republic,Western Pacific,218903,3009,0,0,0,671,9,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1944,0,0,0,5856,21,0,0,0
Brunei Darussalam,Western Pacific,326275,74581,5040,1152,5040,170,39,2,0,2
United States of America,Americas,103436829,31250,0,0,0,1144877,346,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328,0,0,0,3163,18,0,0,0
Indonesia,South-East Asia,6819830,2493,2676,1,2676,161954,59,24,0,24
Ethiopia,Africa,501117,436,0,0,0,7574,7,0,0,0
Other,,5,,0,,0,0,,0,,0
Afghanistan,Eastern Mediterranean,229990,591,304,1,304,7970,20,4,0,4
